#ID	A323-01	A323-02	A323-03	A323-04	A323-05	A323-06	A323-07	A323-08	A323-11	A323-12	A323-15	A323-16	A323-17	A323-18	A323-19	A323-22	A323-24	A323-28	A323-29	A323-34	A323-35	A323-37	A323-38	A323-39	A323-40	A323-41	A323-42	A323-43	A323-44	A323-45	A323-46	A323-47	A323-48	A323-49	A323-50
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	0	0	0	0	0	0	5.530331101	0	0	0	0	0	0	0	0	4.22761478	8.063388989	0	0	0	4.550108065	2.363803549	0	0	0	0	0	0	0	0	0	0	6.842285323	6.891418805	6.094798496
hsa-let-7a-5p	157738.4088	145818.4919	156918.3273	133629.2291	151580.6033	136448.2392	125726.5472	136164.0195	112204.9689	149690.2022	150942.7083	151880.8178	148959.412	150144.7069	147253.4862	154193.7939	128484.7279	138793.8913	139724.9453	138838.6113	136357.6385	124128.052	139955.7	138678.4532	132329.3212	159737.9314	148334.7317	128996.8652	126268.5377	136048.6002	144302.7266	153766.4214	148676.0178	142507.6495	139353.5044
hsa-let-7b-3p	0	10.0336126	6.236941404	0	15.37302649	14.77192153	2.76516555	12.65582484	6.538084341	13.61748485	0	0	2.99277544	40.28027012	0	0	2.68779633	4.710626231	10.1271976	8.86708571	4.550108065	2.363803549	2.534327466	3.266788845	0	0	0	0	0	18.80812887	0	14.07043661	13.68457065	0	2.031599499
hsa-let-7b-5p	52447.09906	51994.1805	54822.71494	55840.3977	57254.27498	56140.68778	54562.24664	67058.99724	56018.30664	61278.68183	63919.43024	56655.38083	69531.1518	63191.68776	67483.19957	66365.09681	44905.01328	60686.99773	56074.29312	52677.13943	56839.94995	50315.92234	56791.74417	65959.73356	61537.27069	43696.1544	44656.02442	50946.9697	70575.07042	60402.30588	68978.98093	59184.94651	42367.43072	57398.62723	43049.59338
hsa-let-7c-3p	0	0	0	0	0	0	0	0	1.634521085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.266788845	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	140229.028	134814.9635	142373.7799	136953.8046	148933.8806	139254.9043	129147.057	149380.9192	128591.0428	156281.0649	153924.3727	146648.2922	160394.8069	157640.8651	154391.9592	155601.5896	119660.6926	142746.1067	135967.755	132386.698	138063.929	124820.6464	141200.0547	152343.431	148502.2061	136491.0719	119989.5031	129676.0711	154867.7119	148697.0669	164889.5128	144484.6234	123400.6158	141646.2221	115518.7791
hsa-let-7d-3p	182.3471728	234.1176274	152.8050644	297.5962724	181.9141468	162.4911368	127.1976153	101.2465987	205.9496568	88.51365153	52.66526766	223.8513627	110.7326913	60.42040518	140.7365997	71.86945126	225.7748917	160.1612918	131.6535688	193.9674999	216.1301331	146.55582	185.005905	166.6062311	145.1350724	246.6669875	295.6863064	215.5172414	118.9756518	225.6975465	41.83361377	187.6058214	342.1142662	158.5026325	180.8123554
hsa-let-7d-5p	1389.890673	1414.739377	1590.420058	1388.782605	1137.60396	982.3327818	1133.717876	999.8101626	2260.542661	1470.688364	1243.710552	1354.767101	1233.023481	1216.464158	1290.085497	1733.32206	1862.642856	1870.118614	1488.698047	2246.697842	1751.791605	1995.050195	1756.288934	1372.051315	1649.701989	1564.229677	1851.735494	1404.127482	1456.647845	1579.882825	1426.991048	1256.959003	1361.614779	1660.831932	1682.164385
hsa-let-7e-3p	0	3.344537534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.375592659	0	0	0	4.550108065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p	90099.76416	86238.90032	89456.45056	83196.58076	94385.25829	85551.58355	77449.5219	85650.40393	74516.18176	96956.49214	93229.67728	93415.97179	93628.97964	97383.59505	90779.01617	90673.8818	76741.9608	83312.13552	81260.63356	81325.58498	82407.00717	76055.37919	85538.62062	88392.77256	88450.15094	93540.93469	76686.24356	80420.58516	86048.33627	90043.91698	98030.10161	87241.3971	81854.25932	86101.38655	73887.24216
hsa-let-7f-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.690145535	6.842285323	0	0
hsa-let-7f-2-3p	0	0	0	0	0	0	5.530331101	0	0	0	0	0	0	0	0	4.22761478	8.063388989	0	0	0	4.550108065	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	6.094798496
hsa-let-7f-5p	152689.4182	140530.7781	152904.8555	129647.1075	146681.7322	131499.6455	121457.1316	128933.3249	109795.6849	144971.7437	145890.8938	145871.8078	143464.6763	145492.3357	141639.6596	149742.1155	122576.9516	131445.3143	135268.9784	135265.1757	132310.3174	119901.5712	136721.8981	133441.7907	128744.4849	154954.9983	144317.094	124346.9175	121766.7563	132324.5907	139868.3636	148719.8248	145446.4591	138469.2781	135790.0789
hsa-let-7g-3p	0	3.344537534	0	0	0	0	0	0	0	6.808742425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.39215766	0	0	0	0	0	0	0	0
