mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-125a-3p,9.21,-1.10,0.56,-1.97,0.05,0.38
hsa-miR-199b-5p,18.36,-2.30,0.73,-3.17,0.00,0.05
hsa-miR-205-5p,60.98,-1.40,0.45,-3.09,0.00,0.06
hsa-miR-221-5p,8.79,-1.37,0.64,-2.14,0.03,0.33
unconservative_16_109717,211.68,-1.48,0.41,-3.60,0.00,0.02
unconservative_16_109718,211.68,-1.48,0.41,-3.60,0.00,0.02
unconservative_7_59344,195.82,-1.37,0.38,-3.62,0.00,0.02
unconservative_8_62933,1.36,-3.64,1.73,-2.11,0.03,NA
unconservative_8_62934,1.36,-3.64,1.73,-2.11,0.03,NA
unconservative_8_62936,15.32,-2.48,0.90,-2.76,0.01,0.09
unconservative_X_135474,26.24,-1.60,0.58,-2.74,0.01,0.09
